id,char,unicode,n_points,n_strokes,stroke
18,卑,5351,52,8,"52,-64,0,-6,-12,-5,-5,4,-5,4,-14,-5,-12,-64,0,-6,-9,3,-9,-64,0,-1,-12,-1,-5,-64,0,-6,0,3,0,-1,5,-7,9,-64,0,-1,-5,-1,-1,-64,0,-5,2,0,4,2,8,3,17,-64,-64,,,,,,"
19,北,5317,34,6,"34,-64,0,-4,-11,0,-5,-3,1,-1,14,-64,0,6,-11,4,-2,8,3,6,15,-64,0,-2,-8,-7,-1,-64,0,5,-9,12,-3,-64,-64,,,,,,"
20,貝,8C9D,50,8,"50,-64,0,-2,-7,-2,0,-64,0,-2,-7,-6,2,-6,9,-3,12,-1,7,-64,0,-6,5,-1,2,-64,0,1,0,2,-7,-64,0,2,-7,7,4,7,10,2,13,0,7,-64,0,2,5,6,10,-64,-64,,,,,,"
21,备bei,,92,14,"92,-64,0,-6,-3,9,-4,-64,0,-4,-16,-1,-11,-1,-9,-2,-8,-2,6,-2,6,-64,0,-4,0,-2,4,0,1,-64,0,-1,-15,-4,-11,-2,-8,-64,0,3,-9,3,7,-64,0,1,-15,3,-11,3,-9,1,-11,4,-15,-64,0,1,2,3,6,-64,0,-5,-6,-5,12,-64,0,6,-6,6,13,-64,0,5,1,3,5,-64,0,-5,9,6,9,-64,0,-6,11,6,11,-64,-64,,,,,,"
22,狽,72FD,82,13,"82,-64,0,-4,-15,6,-10,-64,0,0,-17,0,-18,1,-13,-5,-11,-64,0,-2,-11,-1,-4,-64,0,1,-13,3,-3,-64,0,-5,-4,4,-3,0,3,-64,0,-4,1,-1,6,-64,0,0,6,4,2,-64,0,4,2,5,9,3,14,0,11,-64,0,1,8,4,6,-64,0,-4,1,-7,7,-4,14,-1,11,-64,0,-5,5,-3,8,-64,-64,,,,,,"
23,誖,8A96,90,15,"90,-64,0,-9,-10,0,-10,-64,0,-9,-6,0,-6,-64,0,-9,-10,-9,-6,-64,0,0,-10,0,-6,-64,0,-10,-13,1,-13,-64,0,-2,-16,-5,-16,-5,0,-8,0,-64,0,-10,-3,0,-3,-64,0,-3,2,10,2,-64,0,0,5,0,10,-64,0,0,5,8,5,8,9,0,9,-64,0,7,-1,4,-1,4,15,-64,0,4,12,9,12,-64,0,0,9,0,12,-64,-64,,,,,,"
24,皀,7680,76,11,"76,-64,0,-8,5,8,5,-64,0,0,-6,0,1,0,1,-64,0,0,0,-4,5,-4,5,-64,0,0,-1,4,5,-64,0,0,-5,-4,0,-64,0,0,-4,3,-1,-64,0,-7,-13,-7,-6,7,-6,6,-14,-7,-13,-64,0,-3,5,-5,9,-2,13,-3,5,-64,0,4,5,1,10,3,13,5,9,4,5,-64,-64,,,,,,"
25,鼻,9F3B,78,13,"78,-64,0,-5,-5,3,-5,-64,0,-5,-5,-6,-1,-6,2,2,2,2,2,-64,0,-6,-1,3,-1,-64,0,-1,-5,-1,2,-64,0,3,-5,4,-1,2,3,-64,0,-5,-14,-4,-5,-64,0,-1,-14,0,-5,-64,0,-6,-14,3,-15,-64,0,-6,-10,4,-10,-64,0,-4,2,-2,9,0,12,-64,0,1,2,0,12,-64,-64,,,,,,"
26,匕,5315,72,12,"72,-64,0,-4,-7,8,-7,-64,0,-4,-7,-4,1,2,2,8,1,8,-7,-64,0,1,2,-3,11,-64,0,3,2,5,11,-64,0,2,-15,-2,-7,-64,0,2,-15,6,-7,-64,0,-2,-4,5,-4,-64,0,-7,10,-3,11,5,11,9,10,-64,0,-3,-15,-3,-11,-64,0,7,-16,7,-12,-64,-64,,,,,,"
27,比,6BD4,76,9,"76,-64,0,-1,-15,0,-9,-6,-5,-4,-1,-3,-1,-2,-2,-64,0,1,-11,7,-6,6,-4,5,-1,4,-4,-64,0,-5,-12,-4,-6,5,-7,3,-15,-64,0,1,-2,-3,3,2,8,6,2,1,-1,-64,0,-1,1,1,3,4,1,-64,0,2,3,2,10,-1,13,5,18,-64,0,2,11,3,13,-1,17,-64,-64,,,,,,"
28,妣,59A3,20,4,"20,-64,0,-2,-12,2,-4,-3,2,3,15,-64,0,-5,-8,-4,-4,0,-8,-64,-64,,,,,,"
29,啚,555A,34,6,"34,-64,0,-3,-11,-6,-3,-3,2,-4,12,-64,0,-4,-8,-1,-4,-64,0,4,-11,1,-2,5,2,5,12,-64,0,3,-8,10,-3,-64,-64,,,,,,"
30,鄙,9119,26,5,"26,-64,0,1,-12,-2,-4,2,2,1,8,-1,13,-64,0,-1,-8,3,-5,-64,0,4,-10,2,-5,-64,-64,,,,,,"
31,币,5E01,86,14,"86,-64,0,-2,-15,-1,-9,-64,0,-2,-15,5,-15,-64,0,5,-15,6,-10,-64,0,-1,-9,7,-10,-64,0,2,-7,-2,-3,-64,0,1,-7,6,-4,-64,0,2,-7,-2,1,-64,0,-2,1,-5,6,-2,11,1,8,-1,2,-64,0,-2,1,5,1,-64,0,1,-6,9,3,-64,0,9,3,9,8,7,11,4,8,5,1,-64,0,4,1,7,1,-64,-64,,,,,,"
32,必,5FC5,26,6,"26,-64,0,-7,-7,8,-8,-64,0,0,-8,0,15,-64,0,0,0,-7,8,-64,0,0,-1,7,5,-64,-64,,,,,,"
33,畀,7540,44,8,"44,-64,0,-4,-14,4,-11,3,-5,-8,0,-64,0,-5,5,7,4,-64,0,-1,-1,0,9,6,15,-64,0,-4,-10,-4,-5,-64,0,-10,4,-9,9,-64,0,2,-2,4,1,-64,-64,,,,,,"
34,婢,5A62,70,12,"70,-64,0,-6,-9,6,-9,-64,0,-6,-6,6,-6,-64,0,-6,-2,6,-2,-64,0,-6,-9,-6,-2,-64,0,6,-9,6,-2,-64,0,0,-9,0,-2,-64,0,-6,-6,-9,0,-11,11,-64,0,-8,-9,-10,-3,-4,5,-64,0,8,-11,11,-4,5,2,-64,0,7,-5,10,1,9,13,-64,-64,,,,,,"
35,敝,655D,92,13,"92,-64,0,1,-6,1,0,-64,0,1,-6,8,-6,8,-1,1,0,-64,0,1,-3,8,-3,-64,0,4,-9,4,11,-64,0,-7,-8,0,-8,-64,0,-6,-8,-3,-3,-3,8,-6,12,-4,15,0,11,-3,17,-64,0,-1,-8,-3,-3,-64,0,-7,3,-2,-2,0,2,-8,7,-64,0,-7,3,-6,6,-6,8,-64,0,6,4,9,6,6,13,-64,0,5,6,8,11,9,18,-64,-64,,,,,,"
36,辟,8F9F,52,9,"52,-64,0,-6,-13,-5,2,-64,0,-9,1,-9,-6,-2,-6,-2,1,-64,0,-8,-11,-10,-6,-64,0,-4,-12,-2,-9,-64,0,1,-8,2,2,-64,0,5,-4,9,1,1,7,-64,0,4,0,8,4,10,13,-64,-64,,,,,,"
37,避,907F,60,9,"60,-64,0,5,-4,4,1,9,1,9,-3,5,-4,-64,0,0,-12,2,1,-4,4,-4,10,3,5,1,12,-64,0,0,-9,-2,2,-64,0,4,-15,17,-14,-64,0,7,-7,15,-7,-64,0,7,-15,10,-8,-64,0,13,-14,10,-7,10,7,-64,-64,,,,,,"
38,編,7DE8,64,11,"64,-64,0,0,-14,3,-6,0,-1,-2,10,-64,0,1,-11,-2,-7,-64,0,-1,3,6,-2,-64,0,1,2,5,5,5,-1,-64,0,1,7,9,2,-64,0,5,4,7,8,2,14,-64,0,-4,-12,-7,-4,-64,0,-4,1,-8,7,-64,0,-5,3,-5,12,-64,-64,,,,,,"
39,豩,8C69,90,15,"90,-64,0,4,-10,4,-3,-64,0,0,-8,3,-5,-64,0,7,-8,4,-5,-64,0,4,-3,2,0,5,6,1,13,-64,0,4,-3,6,1,1,6,7,13,-64,0,4,9,4,15,-64,0,-9,3,-4,0,-64,0,-4,0,0,3,-64,0,0,3,-4,6,-9,3,-64,0,-8,-2,-8,11,-64,0,-6,-6,-6,14,-64,0,-4,-4,-4,11,-64,0,-2,-5,-2,13,-64,-64,,,,,,"
40,賓,8CD3,68,12,"68,-64,0,-5,-10,1,-6,-64,0,-2,-12,-1,4,-2,13,-64,0,-2,-6,-7,-1,-64,0,-5,-2,-3,6,-64,0,-8,9,-3,7,-64,0,8,-13,7,-7,2,0,-64,0,4,-10,12,-4,-64,0,5,-2,4,4,-64,0,8,-7,7,11,-64,0,3,5,2,5,7,6,-64,-64,,,,,,"
41,儐,5110,74,14,"74,-64,0,0,-16,-6,-11,-64,0,-6,-11,-6,2,-64,0,0,-16,6,-11,-64,0,6,-11,6,4,-64,0,-2,-11,1,-11,-64,0,-4,-9,3,-8,-64,0,1,-8,1,2,-64,0,1,-8,-3,-1,-64,0,-4,4,-3,10,-64,0,-3,10,-1,11,-64,0,-1,11,0,2,-64,0,-3,7,4,4,-64,-64,,,,,,"
42,冰,51B0,74,10,"74,-64,0,-8,2,-8,-8,0,-13,8,-6,8,2,-64,0,-6,-6,-1,-7,-64,0,-3,-6,-4,4,-64,0,-4,-2,-7,2,-64,0,1,-8,2,-2,-1,1,-2,4,4,1,3,5,-64,0,-2,-1,5,-4,3,-7,-1,-5,-1,-2,-64,0,-2,8,1,15,3,6,3,6,-64,0,-1,11,8,8,-64,-64,,,,,,"
43,兵,5175,30,6,"30,-64,0,3,-11,1,-6,-3,-1,-64,0,3,-11,12,-4,-64,0,5,-1,3,4,-2,9,-64,0,5,-1,13,6,-64,-64,,,,,,"
44,掤,63A4,50,8,"50,-64,0,-9,-7,2,-13,-2,15,-64,0,-6,-12,-9,-7,-4,-6,-64,0,-1,4,-6,8,-9,17,-64,0,-4,2,-6,8,-4,13,-64,0,3,0,3,8,-1,14,-64,0,0,6,3,8,5,19,-64,-64,,,,,,"
45,丙,4E19,66,12,"66,-64,0,-8,-8,0,-8,-64,0,-6,-8,-6,1,-64,0,-3,-8,-3,1,-64,0,-8,-5,-6,-5,-64,0,-8,-2,-6,-2,-64,0,-3,-5,0,-5,-64,0,-3,-3,1,-3,-64,0,-8,2,0,2,-64,0,2,-3,5,0,0,8,-64,0,1,0,4,8,6,19,-64,-64,,,,,,"
46,秉,79C9,32,7,"32,-64,0,-8,-7,-8,13,-64,0,-8,-7,5,-7,-64,0,5,-7,5,12,-64,0,-1,-6,-7,10,-64,0,-1,-5,4,6,-64,-64,,,,,,"
47,柄,67C4,62,11,"62,-64,0,5,-15,0,-11,0,16,-64,0,-4,-11,0,-7,-64,0,-5,-5,0,0,-64,0,0,0,5,-6,-64,0,-5,10,0,5,-64,0,0,5,4,10,-64,0,5,-15,7,-9,-64,0,5,-2,8,2,5,7,-64,0,3,0,9,5,10,14,-64,-64,,,,,,"
48,并,5E76,52,9,"52,-64,0,-1,-14,-1,2,-64,0,-6,-13,-1,-5,6,-13,-64,0,-4,0,-1,-4,3,-1,-64,0,-8,2,-8,13,-64,0,-8,2,7,2,7,12,-64,0,-1,2,-7,10,-8,10,-64,0,-2,2,7,9,-64,-64,,,,,,"
49,竝,7ADD,40,7,"40,-64,0,-4,-11,-4,-1,-1,3,-1,13,-64,0,2,-11,1,-2,5,1,4,12,-64,0,1,-8,6,-5,-64,0,-4,-8,-1,-6,-64,0,-5,8,8,9,-64,-64,,,,,,"
50,剥,5265,74,11,"74,-64,0,-5,-12,-5,-8,-9,-3,-64,0,-5,-8,-2,-5,-64,0,4,-13,4,-9,2,-7,1,-6,-64,0,4,-10,8,-6,-64,0,-5,-8,-5,-1,-8,1,-7,8,-64,0,-5,-1,-1,2,-3,8,-64,0,4,-8,4,-2,1,3,1,8,-64,0,5,-1,6,2,6,7,-64,0,-12,10,9,9,-64,-64,,,,,,"
51,伯,4F2F,34,6,"34,-64,0,5,-18,3,-13,3,-3,4,2,0,8,-64,0,3,-3,-1,4,-64,0,-1,-14,-3,0,-64,0,-7,-14,-6,-9,-2,-6,-64,-64,,,,,,"
52,帛,5E1B,26,4,"26,-64,0,0,-10,-6,-3,-6,2,-1,8,0,9,6,2,6,-3,0,-10,-64,0,-6,-1,6,-1,-64,-64,,,,,,"
53,泊,6CCA,48,8,"48,-64,0,0,-13,-4,-7,-4,-3,0,-1,4,-3,4,-7,0,-13,-64,0,-4,-6,3,-6,-64,0,-6,2,7,2,-64,0,0,-1,1,14,-64,0,-6,2,-5,10,-64,0,7,2,7,8,-64,-64,,,,,,"
54,亳,4EB3,38,5,"38,-64,0,2,-10,-3,-2,-2,3,3,5,6,3,7,-2,2,-8,-64,0,-2,-2,6,-2,-64,0,-8,-10,-6,-6,-5,-2,-6,2,-5,7,1,12,-64,-64,,,,,,"
55,搏,640F,82,14,"82,-64,0,-6,-2,7,-2,-64,0,-1,-16,-7,-8,-64,0,-1,-16,6,-9,-64,0,-4,-12,-4,-2,-64,0,4,-11,4,-2,-64,0,-4,-8,4,-8,-64,0,-4,-6,4,-6,-64,0,-5,-2,-5,8,-64,0,7,-2,6,8,-64,0,-5,1,0,4,7,1,-64,0,-5,3,1,7,6,3,-64,0,3,1,0,2,0,9,-2,13,-64,-64,,,,,,"
56,駁,99C1,68,8,"68,-64,0,-3,-11,-2,12,-64,0,2,-9,-3,-6,-5,-2,-8,1,-9,6,-6,10,-3,12,-2,12,-64,0,-7,-8,-3,-4,0,-1,2,2,2,7,0,10,-2,12,-64,0,-8,4,2,4,-64,0,6,-12,8,-7,7,-1,3,2,-64,0,3,-4,5,0,5,5,4,7,-64,-64,,,,,,"
57,豰,8C70,88,15,"88,-64,0,-7,-12,-2,-7,-64,0,-2,-13,-4,-5,-64,0,-5,0,2,9,-64,0,-1,-1,-6,9,-64,0,0,-6,2,-12,8,-14,-64,0,9,-13,5,-8,0,-5,-64,0,2,-10,4,-9,-64,0,4,-12,6,-10,-64,0,6,-7,8,2,7,12,-64,0,6,-3,3,1,3,1,-64,0,7,-5,11,-2,-64,0,6,3,4,7,-64,0,8,2,11,7,-64,-64,,,,,,"
58,卜,535C,54,10,"54,-64,0,0,-13,0,-3,-5,0,-64,0,-4,-12,0,-9,-64,0,3,-13,0,-10,-64,0,1,-3,5,0,-64,0,-5,1,-4,11,-64,0,-5,2,5,2,5,2,-64,0,5,3,5,10,-64,0,-3,9,4,9,-64,-64,,,,,,"
59,不,4E0D,16,4,"16,-64,0,1,-16,1,7,-64,0,12,-11,7,-6,1,-5,-64,-64,,,,,,"
60,步,6B65,50,8,"50,-64,0,-7,-12,7,-12,-64,0,-4,-12,-1,-6,-64,0,4,-12,-1,-6,-64,0,-1,-6,-5,-2,-7,10,-64,0,-1,-6,-2,1,-2,4,-1,10,-64,0,-1,-6,3,-3,5,1,5,5,5,13,-64,-64,,,,,,"
61,才,624D,132,22,"132,-64,0,-1,-14,-2,-5,-64,0,0,2,0,7,-3,9,-64,0,-4,7,-2,14,-64,0,-1,6,-2,14,-64,0,-12,-2,-7,-2,-64,0,-12,-2,-12,1,-5,1,-64,0,-9,-2,-8,2,-5,3,-64,0,2,-3,7,-3,-64,0,2,-3,2,-1,9,-1,-64,0,5,-3,5,1,9,1,-64,0,-4,-13,-2,-5,-64,0,-3,-10,3,-13,-64,0,-14,-5,-6,-5,-64,0,-6,-14,-6,-5,-64,0,-13,5,-5,5,-64,0,-5,5,-6,13,-64,0,4,-14,4,-7,-64,0,4,-7,8,-7,-64,0,4,5,11,5,-64,0,4,5,4,14,-64,-64,,,,,,"
62,采,91C7,26,6,"26,-64,0,-8,-9,8,-10,-64,0,0,-14,0,12,-64,0,-6,-9,0,2,-64,0,6,-10,0,2,-64,-64,,,,,,"
63,蔡,8521,100,13,"100,-64,0,1,-11,-1,-8,-1,-5,1,-3,3,-6,3,-10,1,-11,1,-11,-64,0,1,-16,1,-11,-64,0,1,-3,1,12,-64,0,1,-15,-2,-11,-2,-7,-1,-3,-64,0,-1,-12,-1,-11,-64,0,-2,-10,-2,-9,-64,0,-4,-5,-5,-1,-3,2,-2,0,-4,-4,-64,0,7,-4,5,-2,4,1,4,1,-64,0,7,-4,6,1,1,5,-64,0,-3,2,1,5,1,5,-64,0,-4,10,1,5,6,10,-64,-64,,,,,,"
64,湌,6E4C,52,10,"52,-64,0,0,-14,0,4,-6,17,-64,0,0,-10,-7,-2,-64,0,0,-10,9,-4,-64,0,0,4,7,8,-64,0,0,4,-7,8,-64,0,0,4,1,10,-64,0,-3,10,-9,13,-64,0,-3,10,-1,15,-64,-64,,,,,,"
65,餐qian,,80,14,"80,-64,0,-1,-14,-5,-8,-7,-1,-64,0,0,-14,3,-2,-64,0,-4,-8,0,-7,-64,0,-6,-1,3,-2,-64,0,-4,0,-4,4,1,4,1,-2,-64,0,-7,5,-6,7,-64,0,-3,6,-1,7,-64,0,2,6,3,7,-64,0,-9,10,6,9,-64,0,-6,12,-6,14,-64,0,-2,12,-1,13,-64,0,3,12,4,14,-64,-64,,,,,,"
66,倉,5009,92,13,"92,-64,0,-1,-15,-1,-7,-64,0,-2,-12,-8,-7,-64,0,-4,-14,-4,-11,-3,-8,-64,0,-5,4,-5,-5,-1,-7,3,-6,3,2,-64,0,-5,-2,3,-5,-64,0,-2,5,-4,6,-6,9,-6,13,-4,14,-3,15,-64,0,-2,13,-2,15,-64,0,0,5,4,7,4,10,3,12,3,14,1,15,-64,0,0,13,1,15,-64,0,-6,8,4,8,-64,0,-5,10,3,11,-64,-64,,,,,,"
67,曹cao,,104,11,"104,-64,0,-6,-10,-4,-6,-5,0,-4,4,-4,4,-64,0,-4,-6,-2,-4,-3,-4,-64,0,-4,-3,-2,0,-64,0,-4,9,2,12,3,16,3,16,-64,0,6,-10,5,-5,6,0,2,3,-64,0,5,-6,2,-4,2,-4,-64,0,5,-4,2,1,-64,0,0,-2,-2,0,-3,2,-4,4,-5,7,-5,8,-5,9,-4,11,-2,14,0,16,3,16,-64,0,0,-2,2,1,2,3,1,5,-1,6,-4,7,-5,7,-5,7,-64,-64,,,,,,"
68,册,518C,34,6,"34,-64,0,-7,-13,7,-14,-64,0,-4,-13,-1,-5,3,-14,-64,0,-8,-2,6,-7,-64,0,-1,-6,-1,2,5,-1,2,8,-5,16,-64,-64,,,,,,"
69,長,9577,66,11,"66,-64,0,6,-9,6,5,-64,0,1,-9,1,2,6,2,-64,0,1,-7,6,-7,-64,0,1,-3,6,-3,-64,0,3,-16,2,-12,-2,-10,-64,0,3,-16,10,-10,-64,0,2,-12,7,-12,-64,0,0,4,0,9,4,10,7,8,8,4,-64,0,0,6,7,6,-64,-64,,,,,,"
70,厂,5382,126,20,"126,-64,0,-4,-11,-4,9,-64,0,-1,-11,-4,-6,-64,0,-4,-6,-7,-1,-7,3,-4,5,-64,0,-4,5,-8,9,-64,0,-4,5,-2,7,-64,0,-7,-10,-4,-6,-64,0,-4,-6,-1,0,-64,0,-1,0,-4,5,-64,0,-7,0,-2,0,-64,0,3,-14,3,11,-64,0,1,-12,3,-9,-64,0,7,-13,3,-9,-64,0,3,-9,1,-4,1,-4,1,2,1,2,3,6,-64,0,3,-9,7,-1,-64,0,7,-1,6,3,6,3,3,6,-64,0,1,-1,6,-1,-64,0,3,6,0,9,-64,0,3,6,7,9,-64,-64,,,,,,"
71,鬯,9B2F,74,12,"74,-64,0,-2,-11,-2,-1,-64,0,4,-12,4,-1,-64,0,0,-11,-5,-5,0,-2,-64,0,-5,-10,1,-6,-5,-1,-64,0,-5,-5,1,-6,-64,0,6,-12,2,-6,6,-3,-64,0,2,-11,8,-7,2,-2,-64,0,2,-6,8,-7,-64,0,-4,1,6,1,-64,0,-7,-1,-2,4,5,4,8,-3,-64,-64,,,,,,"
72,漅,6F05,56,11,"56,-64,0,-11,0,10,0,-64,0,-13,6,10,6,-64,0,-11,-4,-11,6,-64,0,10,0,10,6,-64,0,-7,-14,-7,13,-64,0,0,-14,0,8,-64,0,6,-14,6,11,-64,0,-4,0,-4,6,-64,0,3,0,3,6,-64,-64,,,,,,"
73,車,8ECA,106,15,"106,-64,0,-1,-13,0,-6,-64,0,-1,-13,6,-13,-64,0,7,-13,6,-7,-64,0,0,-9,6,-9,-64,0,0,-6,6,-6,-64,0,0,-6,-1,-3,-3,-2,-3,7,-64,0,6,-5,9,-1,9,-1,9,8,-64,0,1,-1,3,3,3,12,-64,0,5,-1,3,3,-64,0,1,-1,-3,3,-64,0,5,-1,9,3,-64,0,10,-12,12,-15,13,-10,12,-6,9,-3,-64,0,9,-6,10,-9,12,-6,12,-6,13,-2,13,-1,13,7,-64,-64,,,,,,"
74,屮,5C6E,74,13,"74,-64,0,-6,-10,8,-10,8,-10,-64,0,-6,-6,9,-6,-64,0,-3,-11,-3,0,-64,0,-1,-16,-1,-5,-64,0,1,-12,1,-4,-64,0,3,-15,3,-4,-64,0,6,-12,6,-2,-64,0,8,-12,8,-5,-64,0,-6,-11,-6,-6,-64,0,-5,3,8,3,-64,0,-7,-4,-7,6,9,6,9,-3,-64,-64,,,,,,"
75,徹che,,62,11,"62,-64,0,-6,-5,7,-5,-64,0,-2,-15,5,-15,-64,0,-2,-15,-3,-6,-64,0,1,-12,4,-12,-64,0,1,-12,1,-5,-64,0,1,-4,0,-1,-6,4,-64,0,1,-2,3,2,1,6,3,13,-64,0,-3,2,-2,6,-64,0,-4,5,-4,10,-64,-64,,,,,,"
76,臣,81E3,16,4,"16,-64,0,11,-11,-6,-10,-6,14,-64,0,3,-11,-4,4,-64,-64,,,,,,"
77,沉,6C89,86,13,"86,-64,0,-4,-14,-4,0,-1,2,6,2,-64,0,9,-14,9,-2,6,2,-64,0,-4,-9,9,-10,-3,1,-64,0,-4,-9,6,1,-64,0,-4,-14,1,-10,1,-10,-64,0,6,-10,6,-14,9,-14,-64,0,1,-7,4,-7,-64,0,-3,-5,-2,-4,-64,0,6,-5,6,-3,-64,0,0,2,0,7,2,12,5,8,5,2,-64,0,2,3,2,7,-64,-64,,,,,,"
78,辰,8FB0,70,10,"70,-64,0,-9,-9,-5,2,-7,6,-8,8,-6,13,-64,0,-6,-15,-5,-7,-2,-2,0,-2,5,-3,6,-7,5,-15,-64,0,-6,-12,5,-13,-64,0,-4,-8,6,-8,-64,0,-1,-12,0,14,-64,0,-4,1,0,7,2,7,7,15,-64,0,4,-1,0,2,-64,0,0,8,-5,13,-64,-64,,,,,,"
