id,char,unicode,n_points,n_strokes,stroke
13,祥,7965,70,9,"70,-64,0,-7,-8,-1,-2,4,-10,-64,0,-7,-8,-11,-6,-10,-3,-8,-4,-8,-4,-64,0,4,-10,8,-7,5,-4,-64,0,-1,-2,-1,4,-64,0,-12,-1,-1,4,11,-5,-64,0,-6,2,-6,12,1,12,-64,0,3,2,2,12,-64,0,-12,-1,-6,12,-64,0,11,-5,2,12,-64,-64,,,,,,"
14,祉,7949,46,7,"46,-64,0,-11,-11,0,-11,-64,0,-13,-7,2,-7,-64,0,-6,-7,-6,15,-64,0,-3,-4,2,11,-64,0,2,11,2,11,2,11,-64,0,3,-6,2,11,-64,0,-1,1,9,-4,-64,-64,,,,,,"
15,福,798F,116,16,"116,-64,0,-12,-11,-8,-11,-64,0,-13,-9,-8,-9,-64,0,-10,-9,-10,4,-64,0,-8,-14,-2,-12,4,-12,7,-15,-64,0,-8,-7,-1,-8,4,-8,11,-7,-64,0,-2,-12,-1,-2,-64,0,4,-12,4,-2,-64,0,-5,0,-2,9,0,11,-64,0,-5,0,7,-1,5,8,0,11,-64,0,-4,3,6,2,-64,0,-3,6,5,6,-64,0,1,0,0,10,-64,0,-7,6,-6,11,-3,13,-64,0,-3,7,-7,17,-64,0,8,6,9,10,6,13,-64,0,5,7,8,17,-64,-64,,,,,,"
16,祐,7950,58,9,"58,-64,0,-7,-11,2,-11,-64,0,-7,-7,2,-7,-64,0,-3,-7,-3,13,-64,0,3,-13,8,-4,2,4,-64,0,2,-5,7,11,-64,0,-10,-10,-10,-4,-64,0,-8,1,-6,7,-64,0,0,2,0,6,-64,0,2,-10,3,-8,-64,-64,,,,,,"
17,祭,796D,64,9,"64,-64,0,-3,-15,-10,-6,-5,-2,-5,-2,-64,0,2,-11,-5,-2,-64,0,-7,-10,-1,-7,-64,0,3,-15,9,-6,1,2,-64,0,2,-9,7,12,8,16,-64,0,-1,-16,-1,-12,-64,0,-9,3,-9,8,-64,0,-4,0,-4,4,-64,0,0,5,0,10,-64,-64,,,,,,"
18,祀,7940,66,8,"66,-64,0,-10,-12,-1,-13,-64,0,-13,-7,0,-9,-64,0,-6,-8,-6,14,-64,0,3,-11,1,-7,2,-5,5,-4,-64,0,3,-11,8,-11,9,-7,5,-4,-64,0,2,-5,4,-2,0,11,4,12,8,6,-64,0,-10,-4,-11,10,-11,10,-64,0,-2,-5,-1,4,-64,-64,,,,,,"
19,祖,7956,52,7,"52,-64,0,-12,-9,-5,-9,-64,0,-8,-9,-8,8,-64,0,0,-14,-4,-5,-1,4,-5,13,-64,0,0,-14,6,-4,3,5,4,12,-64,0,-3,-3,5,-4,-64,0,-3,0,5,0,-64,0,-9,14,10,14,-64,-64,,,,,,"
20,祏,794F,38,6,"38,-64,0,-10,-5,-1,-5,-64,0,-12,-2,1,-2,-64,0,-5,-2,-5,16,-64,0,-7,-13,8,-13,-64,0,8,-13,8,12,-64,0,-5,-13,8,-1,-64,-64,,,,,,"
21,祠,7960,40,5,"40,-64,0,-6,-14,6,-13,3,-3,9,10,-64,0,-4,-9,4,-7,-64,0,-9,1,-9,9,-5,11,-2,9,-64,0,-1,-2,-2,9,-64,0,-9,5,-2,5,-64,-64,,,,,,"
22,禘,7998,64,10,"64,-64,0,-10,-14,8,-15,-64,0,-1,-15,-2,18,-64,0,-9,-5,-9,1,-64,0,-9,-5,7,-5,-64,0,7,-5,7,1,-64,0,-9,1,7,1,-64,0,-9,-14,-1,-7,-1,-7,-64,0,6,-15,-1,-7,-64,0,-3,1,-10,13,-64,0,1,1,7,14,-64,-64,,,,,,"
23,祝,795D,78,10,"78,-64,0,-10,-3,0,-3,-64,0,-5,-3,-5,7,-64,0,-7,-1,-8,7,-64,0,-3,0,-1,6,-64,0,-6,-11,-5,-6,-64,0,-1,-16,1,-9,4,-8,-64,0,6,-16,6,-10,4,-8,-64,0,0,-13,6,-14,-64,0,4,-8,1,0,3,7,-64,0,4,-8,6,4,1,9,1,13,7,8,6,14,5,17,-64,-64,,,,,,"
24,ba,,80,12,"80,-64,0,-1,-11,-1,1,-64,0,-4,-10,-1,-6,-64,0,2,-11,-1,-6,-64,0,-1,-6,-6,0,-64,0,-1,-6,3,0,-64,0,-4,4,2,4,-64,0,-6,7,4,7,-64,0,-1,7,-1,18,-64,0,-5,-14,-7,-10,-5,-6,-64,0,-7,-16,-6,-11,-5,-10,-64,0,5,-16,6,-12,3,-8,-64,0,3,-13,6,-8,-64,-64,,,,,,"
25,祈,7948,90,12,"90,-64,0,-6,-12,3,-15,-3,-3,-64,0,-4,-16,-2,-13,-3,-9,-64,0,-8,-8,-10,-5,-7,-4,-64,0,-8,-8,-5,-6,-7,-4,-64,0,5,-11,1,-6,2,-3,-64,0,5,-11,6,-6,2,-3,-64,0,-7,-4,-1,0,2,-3,-64,0,-8,0,6,0,-64,0,-1,0,-1,18,-64,0,-8,0,-7,5,-7,5,-64,0,-8,5,5,5,-64,0,6,0,5,5,-64,-64,,,,,,"
26,籞,7C5E,78,11,"78,-64,0,-9,-15,-2,-15,-64,0,-11,-12,-1,-12,-64,0,-6,-12,-6,-1,-64,0,-10,-8,-10,-3,-64,0,-3,-9,-3,-5,-64,0,-2,-6,1,-6,-64,0,-3,-2,2,-2,-64,0,-1,-11,-1,-1,-64,0,2,-15,7,2,1,7,-64,0,1,7,2,11,7,7,6,13,1,18,-64,0,4,-6,3,-1,3,4,-64,-64,,,,,,"
27,禍,798D,48,7,"48,-64,0,-7,-13,-4,-7,-9,14,-64,0,5,-15,2,-7,7,15,-64,0,-4,-7,2,-7,-64,0,-4,-4,3,-2,-64,0,-1,-1,-1,11,-64,0,-6,1,-1,5,-64,0,-9,14,7,15,-64,-64,,,,,,"
28,祟,795F,46,7,"46,-64,0,2,-16,-8,-5,-64,0,-4,-16,1,-9,-1,18,-64,0,1,-9,8,-2,-64,0,1,-3,8,3,-64,0,0,6,7,13,-64,0,0,6,-8,13,-64,0,1,-3,-9,5,-64,-64,,,,,,"
29,禫,79AB,82,13,"82,-64,0,-10,-13,-2,-13,-64,0,-12,-9,-1,-9,-64,0,-6,-9,-7,4,-64,0,1,-9,2,-3,-64,0,-4,-7,0,-3,5,-3,-64,0,5,-3,8,-8,-64,0,-5,2,8,2,-64,0,0,-3,-1,2,-64,0,5,-3,5,2,-64,0,-5,2,2,15,-64,0,8,2,2,15,-64,0,5,2,-1,9,-64,0,-1,1,4,10,-64,-64,,,,,,"
30,三,4E09,20,3,"20,-64,0,-11,-11,8,-11,-64,0,-11,-4,8,-4,-64,0,-12,4,8,4,-64,-64,,,,,,"
31,王,738B,26,4,"26,-64,0,-9,-8,6,-8,-64,0,-1,-14,-7,8,-64,0,-2,-8,3,8,-64,0,-12,9,8,9,-64,-64,,,,,,"
32,玉,7389,40,6,"40,-64,0,-1,-16,-1,17,-64,0,-6,-14,-1,-10,6,-15,-64,0,-5,-6,4,-6,-64,0,-7,-1,4,-1,-64,0,-6,7,4,7,-64,0,-8,12,5,12,-64,-64,,,,,,"
33,玨,73A8,70,11,"70,-64,0,-9,-15,-5,-8,-2,-15,-64,0,-5,-8,-5,12,-64,0,-9,-6,-2,-6,-64,0,-10,0,-2,0,-64,0,-10,6,-3,6,-64,0,0,-15,3,-10,-64,0,6,-15,3,-10,-64,0,3,-10,3,17,-64,0,-1,-6,8,-6,-64,0,0,0,8,0,-64,0,-2,7,8,7,-64,-64,,,,,,"
34,氣,6C23,20,3,"20,-64,0,-11,-10,10,-10,-64,0,-8,-3,6,-3,-64,0,-12,6,11,6,-64,-64,,,,,,"
35,中,4E2D,70,9,"70,-64,0,0,-16,0,17,-64,0,-4,-4,-4,2,-64,0,-4,-4,6,-4,-64,0,6,-4,6,2,-64,0,-4,2,6,2,-64,0,-10,-13,-6,-13,0,-14,-64,0,-10,-8,-7,-8,-4,-10,0,-10,-64,0,-11,7,-7,7,-5,5,0,5,-64,0,-12,11,-8,11,-4,9,-1,10,-64,-64,,,,,,"
36,屮,5C6E,20,3,"20,-64,0,-1,-15,-1,18,-64,0,-9,-4,-1,4,-64,0,8,-4,-1,4,-64,-64,,,,,,"
37,屯,5C6F,38,5,"38,-64,0,1,-16,1,-9,-64,0,1,-9,-3,-5,0,1,-64,0,1,-9,4,-4,0,1,-64,0,0,1,-1,11,-11,17,-64,0,-6,6,2,15,-64,-64,,,,,,"
38,每,6BCF,64,8,"64,-64,0,-1,-16,0,6,0,6,-5,10,-4,12,-64,0,-4,12,2,9,0,14,-4,17,-64,0,-6,-11,3,-14,-64,0,-6,-5,5,-10,7,-3,-64,0,-6,-5,-5,4,-64,0,-8,5,-7,1,7,-3,-64,0,-3,-4,-3,-2,-64,0,2,-7,3,-4,-64,-64,,,,,,"
39,zhui,,100,15,"100,-64,0,0,-11,-6,-4,-64,0,-2,-9,1,-5,-6,2,-5,8,3,13,-64,0,-4,-6,4,2,-64,0,-5,1,2,7,-64,0,-2,10,-4,15,-64,0,-10,-10,-10,6,-64,0,-13,-7,-10,-4,-64,0,-6,-8,-10,-4,-64,0,-10,0,-13,4,-64,0,-10,0,-7,3,-64,0,6,-13,6,8,-64,0,1,-12,6,-8,6,-8,-64,0,11,-13,6,-8,-64,0,6,-8,3,-2,-64,0,6,-8,9,-2,-64,-64,,,,,,"
40,萌,840C,100,15,"100,-64,0,-4,-16,-5,-3,-64,0,-8,-12,-5,-8,-64,0,-1,-14,-5,-8,-64,0,-9,-2,-2,-2,-2,1,-4,4,-64,0,-9,-2,-9,3,-4,4,-64,0,-5,4,-6,14,-64,0,-9,6,-6,9,-64,0,-2,5,-6,9,-64,0,-1,-9,2,2,-1,10,-64,0,4,-13,4,-1,-64,0,1,-10,4,-6,-64,0,7,-10,4,-6,-64,0,4,5,4,16,-64,0,1,8,4,11,-64,0,8,5,4,11,-64,-64,,,,,,"
41,兹,5179,48,5,"48,-64,0,-6,-14,-6,-8,-64,0,-6,-8,-9,-4,-2,6,-5,10,-64,0,-6,-8,-3,-4,-9,6,-5,10,-64,0,5,-14,0,-4,6,6,4,12,-64,0,5,-14,7,-5,0,6,6,15,-64,-64,,,,,,"
42,蔡,8521,52,8,"52,-64,0,0,-14,0,4,-6,17,-64,0,0,-10,-7,-2,-64,0,0,-10,9,-4,-64,0,0,4,7,8,-64,0,0,4,-7,8,-64,0,0,4,1,10,-64,0,-3,10,-9,13,-64,0,-3,10,-1,15,-64,-64,,,,,,"
43,茀,8300,90,14,"90,-64,0,-5,-14,-5,14,-64,0,-8,-12,-5,-7,-64,0,0,-13,-5,-7,-64,0,-5,4,-9,9,-64,0,-5,4,-2,7,-64,0,2,-15,2,17,-64,0,-1,-10,2,-7,-64,0,2,-7,6,-13,-64,0,2,9,-2,15,-64,0,2,9,7,15,-64,0,11,-15,6,-11,10,-6,-64,0,11,-15,10,-6,-64,0,7,-9,-7,-3,-64,0,-7,-3,8,3,-10,13,-64,-64,,,,,,"
44,若,82E5,66,7,"66,-64,0,1,-16,-1,-9,1,-5,-4,8,2,10,0,13,-7,10,-4,18,-64,0,-3,-16,-4,-8,0,-2,-64,0,2,-13,4,-5,0,-2,-64,0,-4,-10,-7,-3,-3,3,-64,0,-8,-14,-4,-1,-64,0,5,-11,7,-4,2,1,-64,0,5,-5,6,2,-2,6,-64,-64,,,,,,"
45,苴,82F4,140,22,"140,-64,0,-3,-13,-3,-10,5,-5,-64,0,-4,-7,-4,-5,5,-5,-64,0,3,-13,-2,-5,-64,0,-7,-10,-9,-6,-6,-3,-64,0,-5,-8,-10,1,-64,0,0,-5,-4,11,-64,0,0,-5,3,11,-64,0,-2,2,1,2,-64,0,-3,6,2,6,-64,0,-7,11,6,11,-64,0,-6,-15,-6,-10,-64,0,-8,-14,-6,-12,-64,0,-3,-15,-6,-12,-64,0,-9,1,-9,13,-64,0,-11,3,-9,6,-64,0,-5,2,-9,6,-64,0,6,-15,6,-3,-64,0,3,-10,6,-7,-64,0,10,-12,6,-7,-64,0,7,2,7,13,-64,0,4,6,7,9,-64,0,11,3,7,9,-64,-64,,,,,,"
46,芻,82BB,56,8,"56,-64,0,-3,-15,3,-7,2,2,-6,10,-64,0,-5,-6,2,3,4,16,-64,0,-6,-16,-6,-8,-64,0,-9,-13,-6,-8,-64,0,-2,-13,-6,-8,-64,0,-7,-4,-6,7,-64,0,-10,-1,-6,3,-64,0,-4,-2,-6,3,-64,-64,,,,,,"
47,薶,85B6,82,12,"82,-64,0,-1,-12,-1,9,-64,0,-6,-14,-6,-5,-1,-2,-64,0,3,-14,3,-6,-1,-2,-64,0,-7,0,-1,6,-64,0,4,0,-1,6,-64,0,-10,0,-9,10,0,13,-64,0,6,-2,6,9,0,13,-64,0,-8,-6,-8,-2,-64,0,-5,4,-5,9,-64,0,4,-3,4,-1,-64,0,8,-2,9,-1,-64,0,2,4,3,9,-64,-64,,,,,,"
48,折,6298,62,9,"62,-64,0,0,-16,0,-4,-64,0,-3,-14,0,-9,0,-9,-64,0,5,-15,0,-9,-64,0,2,-3,-7,3,-5,9,-6,16,-64,0,-6,-1,-1,-1,-64,0,-1,-1,-3,5,-64,0,0,3,0,15,-64,0,0,8,-4,12,-64,0,0,8,6,12,-64,-64,,,,,,"
49,reng,,92,14,"92,-64,0,-2,-15,-5,-5,-64,0,-3,-11,1,-6,-1,0,-1,16,-64,0,-9,-10,-9,-1,-64,0,-11,-7,-9,-4,-9,-4,-64,0,-6,-8,-9,-4,-64,0,-7,3,-7,14,-64,0,-10,6,-7,9,-64,0,-4,5,-7,9,-64,0,5,-16,5,-5,-64,0,1,-13,5,-9,-64,0,9,-14,5,-9,-64,0,4,2,4,15,-64,0,1,5,4,9,-64,0,9,4,4,9,-64,-64,,,,,,"
50,蒿,84BF,126,20,"126,-64,0,-1,-15,-1,-11,-7,-7,-64,0,-1,-11,5,-9,-64,0,-4,-9,-6,2,-64,0,1,-10,4,0,-64,0,-4,-6,1,-7,-64,0,-5,-2,3,-3,-64,0,-10,2,7,0,-64,0,-6,2,-12,13,-64,0,4,0,11,9,-64,0,-4,4,-3,9,2,9,-64,0,2,3,2,9,-64,0,-3,6,2,5,-64,0,-12,-13,-6,-13,-64,0,-8,-16,-8,-8,-64,0,2,-13,8,-14,-64,0,5,-16,5,-10,-64,0,2,11,8,10,-64,0,5,7,5,15,-64,0,-7,7,-7,13,-64,0,-9,10,-5,10,-64,-64,,,,,,"
51,春,6625,150,23,"150,-64,0,-7,-15,-7,-2,-64,0,-11,-13,-7,-9,-7,-9,-64,0,-2,-14,-7,-9,-64,0,-7,-9,-11,-4,-64,0,-7,-9,-4,-6,-64,0,-11,0,-11,5,-64,0,-11,0,-3,0,-3,5,-64,0,-11,5,-3,5,-64,0,-11,3,-6,3,-64,0,0,-11,-3,-6,-64,0,-3,-6,0,-2,-64,0,-3,5,0,12,-64,0,6,-15,6,0,-64,0,3,-11,6,-8,-64,0,10,-13,6,-8,-64,0,6,-6,3,-2,-64,0,6,-6,10,-2,-64,0,4,2,4,17,-64,0,1,6,4,8,-64,0,8,2,4,7,-64,0,4,10,1,13,-64,0,5,10,9,13,-64,0,1,-17,1,-5,0,0,-2,9,-6,14,-64,-64,,,,,,"
52,蓐,84D0,104,15,"104,-64,0,-3,-16,-3,-9,-64,0,-5,-14,-3,-11,-64,0,0,-14,-3,-11,-64,0,3,-17,3,-10,-64,0,1,-14,3,-12,-64,0,6,-14,3,-12,-64,0,-9,-8,10,-9,-64,0,-8,-3,4,-6,-64,0,-8,-3,-7,7,-11,12,-64,0,-7,2,-2,4,6,0,-64,0,-7,-1,-2,1,6,0,-64,0,-2,-4,-2,4,-64,0,-5,-3,-2,-1,-64,0,3,-2,5,5,-3,12,-64,0,0,6,3,9,4,14,7,17,-64,-64,,,,,,"
53,莫,83AB,98,15,"98,-64,0,-10,-15,-6,-11,-64,0,-1,-16,-6,-11,-64,0,3,-13,3,-4,-64,0,0,-10,3,-7,-64,0,7,-10,3,-7,-64,0,-6,-16,-6,-6,-64,0,-5,1,6,1,6,5,-64,0,-5,1,-5,6,6,5,-64,0,-4,3,1,3,-64,0,-7,8,-7,16,-64,0,-10,9,-7,12,-7,12,-64,0,-3,9,-7,12,-64,0,3,8,4,16,-64,0,-1,10,3,12,-64,0,8,7,3,12,-64,-64,,,,,,"
54,葬,846C,64,10,"64,-64,0,-3,-12,-3,16,-64,0,-9,-6,-9,2,-64,0,-9,-2,-3,-2,-64,0,-9,7,-9,15,-64,0,-9,8,-3,8,-64,0,3,-15,3,-4,-64,0,3,-11,8,-8,-64,0,1,-1,1,9,-64,0,1,-1,7,-3,7,11,-64,0,1,5,6,1,-64,-64,,,,,,"
55,小,5C0F,20,3,"20,-64,0,-1,-12,-1,14,-64,0,-7,-2,-9,12,-64,0,5,-4,6,12,-64,-64,,,,,,"
56,少,5C11,26,4,"26,-64,0,-1,-14,-1,1,-64,0,-1,4,-1,15,-64,0,-9,-3,-9,8,-64,0,5,-4,5,9,-64,-64,,,,,,"
57,八,516B,22,2,"22,-64,0,-9,-6,-6,0,-7,4,-12,8,-64,0,3,-11,1,-1,2,5,9,10,-64,-64,,,,,,"
58,分,5206,34,4,"34,-64,0,0,-13,-5,-4,0,8,-4,15,-64,0,-3,2,-7,12,-64,0,-9,-13,-7,1,-12,13,-64,0,5,-14,2,-1,8,11,-64,-64,,,,,,"
59,曾,66FE,44,6,"44,-64,0,-10,1,8,1,-64,0,-10,1,-8,9,4,10,8,1,-64,0,-9,5,6,5,-64,0,-2,1,-2,9,-64,0,-8,-15,-4,-9,-2,1,-64,0,3,-14,3,1,-64,-64,,,,,,"
60,sui,,46,7,"46,-64,0,-3,-15,-6,-6,-64,0,0,-15,5,-4,-64,0,-5,-6,6,0,-64,0,-1,-7,1,9,-5,15,-64,0,-1,-2,-7,6,-64,0,-4,2,-2,12,-64,0,-1,11,2,16,-64,-64,,,,,,"
61,介,4ECB,46,6,"46,-64,0,0,-16,0,-10,-4,-5,-1,2,-1,15,-64,0,0,-10,5,-5,-64,0,-7,-4,-7,6,-64,0,3,-2,3,5,-64,0,-6,8,-6,18,-64,0,3,9,3,16,3,16,-64,-64,,,,,,"
62,兆,5146,26,4,"26,-64,0,-4,-12,-9,-2,-64,0,2,-11,9,-1,-64,0,-4,2,-11,13,-64,0,1,0,10,14,-64,-64,,,,,,"
63,公,516C,34,5,"34,-64,0,-4,-13,-8,5,-64,0,2,-13,9,5,-64,0,-5,4,-5,12,-64,0,-5,4,4,4,4,12,-64,0,-5,12,4,12,-64,-64,,,,,,"
64,必,5FC5,44,6,"44,-64,0,-4,-14,4,-11,3,-5,-8,0,-64,0,-5,5,7,4,-64,0,-1,-1,0,9,6,15,-64,0,-4,-10,-4,-5,-64,0,-10,4,-9,9,-64,0,2,-2,4,1,-64,-64,,,,,,"
65,余,4F59,38,6,"38,-64,0,-1,-16,-10,-2,-64,0,-1,-16,8,-1,-64,0,-6,-8,4,-8,-64,0,-1,-8,-1,17,-64,0,-7,-1,-1,6,-64,0,6,-3,-1,6,-64,-64,,,,,,"
66,番,756A,38,6,"38,-64,0,-2,-14,-2,13,-64,0,-10,0,6,0,-64,0,-8,-14,-8,-8,-64,0,4,-16,4,-9,-64,0,-9,6,-9,13,-64,0,4,6,4,14,-64,-64,,,,,,"
67,牛,725B,36,5,"36,-64,0,-2,-8,-2,16,-64,0,-9,-15,-9,-2,-2,1,-64,0,4,-15,4,-2,-2,2,-64,0,-9,5,-2,10,-64,0,6,4,-2,10,-64,-64,,,,,,"
68,牡,7261,132,18,"132,-64,0,-10,-3,-7,-7,4,-8,8,-10,-64,0,-10,-3,1,-3,4,-8,-64,0,-4,-7,-5,-5,-4,-3,-64,0,-4,-7,-1,-7,0,-5,-1,-3,-4,-3,-64,0,-8,-14,-4,-7,-64,0,-4,-16,-7,-12,-64,0,-2,-13,-6,-10,-64,0,0,-16,2,-12,-1,-8,-64,0,1,-14,5,-15,-64,0,-1,-14,1,-11,-64,0,-4,-3,-4,1,-8,4,-8,16,-64,0,-8,4,5,1,4,15,-64,0,-8,8,5,6,-64,0,-8,12,-12,15,-64,0,-8,12,-6,16,-64,0,4,11,9,13,-64,0,-2,10,-2,15,-64,0,-5,15,2,15,-64,-64,,,,,,"
69,犅,7285,88,13,"88,-64,0,-7,-14,-7,1,-64,0,-1,-15,-1,0,-64,0,-1,-13,-7,-8,-64,0,-7,-13,-1,-9,-64,0,-1,-7,-7,-2,-64,0,-7,-7,-1,-3,-64,0,-4,2,-4,16,-64,0,-7,2,-7,6,-4,7,-64,0,-1,1,-1,6,-4,8,-64,0,-7,9,-4,12,-64,0,-1,9,-4,12,-64,0,7,-14,5,-5,7,1,2,10,-64,0,6,-3,1,4,-64,-64,,,,,,"
70,牝,725D,54,7,"54,-64,0,3,-7,3,15,-64,0,-3,-13,-2,-1,3,1,-64,0,8,-13,7,-1,3,1,-64,0,-3,4,3,9,-64,0,8,4,3,9,-64,0,-9,-10,-6,-2,-8,3,-5,13,-64,0,-11,-6,-10,-2,-8,-6,-64,-64,,,,,,"
71,牲,7272,86,13,"86,-64,0,-9,-8,-5,-3,-64,0,-2,-9,-5,-3,-64,0,-9,-8,-13,0,-64,0,-2,-9,2,-4,-64,0,-5,-3,-5,13,-64,0,-10,6,-5,13,-64,0,-2,4,-5,13,-64,0,-9,1,-6,-1,0,3,-64,0,-9,1,-8,3,0,3,-64,0,4,-13,4,1,-64,0,0,-11,4,-5,4,-5,-64,0,10,-11,4,-5,-64,0,0,3,9,1,-64,-64,,,,,,"
72,牢,7262,78,12,"78,-64,0,-7,-12,-9,6,-64,0,-7,-12,7,-12,-64,0,7,-12,7,5,-64,0,7,5,3,7,5,17,-64,0,-4,-5,-1,0,-64,0,4,-6,-1,0,-64,0,-1,0,-1,15,-64,0,-4,7,-1,11,-64,0,-9,7,-4,10,-6,16,-64,0,-4,-5,-7,1,-64,0,4,-6,5,0,-64,0,-1,11,2,8,-64,-64,,,,,,"
73,物,7269,64,9,"64,-64,0,-7,-15,-5,-11,-7,-7,-4,-2,-64,0,-5,-11,-2,-6,-64,0,-3,-15,-2,-14,-64,0,-3,-11,-1,-9,-64,0,0,2,0,17,-64,0,-4,-1,-4,6,0,7,-64,0,5,-1,5,6,0,7,-64,0,-3,9,0,12,-64,0,5,9,0,12,-64,-64,,,,,,"
74,告,544A,46,6,"46,-64,0,-1,-13,-1,7,-64,0,-7,-13,-7,-4,-1,-2,-64,0,4,-14,4,-5,-1,-2,-64,0,-6,2,3,2,-64,0,-8,7,4,7,-64,0,-9,4,-7,13,3,13,5,3,-64,-64,,,,,,"
75,口,53E3,24,3,"24,-64,0,-7,-10,-6,9,-1,11,5,9,-64,0,5,-10,5,9,-64,0,-6,0,5,0,-64,-64,,,,,,"
76,喙,5599,68,10,"68,-64,0,-9,-4,5,-9,-64,0,-3,-15,-9,-4,-64,0,-5,-11,-2,-7,-64,0,0,-13,-3,-9,-64,0,0,-7,-1,8,-4,13,-64,0,-4,-6,-8,8,-2,17,-64,0,-7,10,6,8,-64,0,2,-5,3,1,7,1,-64,0,6,-6,7,1,-64,0,2,-3,7,-3,-64,-64,,,,,,"
77,吹,5439,70,9,"70,-64,0,-8,-11,-2,-11,-64,0,-8,-11,-8,-7,-2,-7,-64,0,-4,-11,-4,-7,-64,0,-7,-7,-7,5,-2,7,-2,7,-64,0,-2,7,-2,10,-8,8,-6,13,0,16,-64,0,-7,-7,-3,6,-64,0,0,-13,6,-15,-64,0,6,-15,7,-10,0,-9,-64,0,3,-14,3,-10,-64,-64,,,,,,"
78,名,540D,42,5,"42,-64,0,-1,-14,-8,-4,-8,6,1,15,-64,0,-3,-11,-3,11,-64,0,1,-1,1,7,4,8,7,7,7,7,-64,0,7,-1,7,7,-64,0,1,2,7,2,-64,-64,,,,,,"
79,君,541B,46,6,"46,-64,0,-4,-13,-4,9,-64,0,-3,-10,4,-3,5,7,-64,0,-1,-15,3,-9,-3,1,-64,0,-7,8,-7,14,-4,16,-1,14,-64,0,0,8,-1,14,-64,0,-7,11,-1,11,-64,-64,,,,,,"
80,命,547D,44,6,"44,-64,0,-1,-16,-7,-5,-64,0,-1,-16,6,-4,-64,0,-5,-9,3,-9,-64,0,-2,-6,2,8,-5,11,-64,0,-5,11,-6,15,3,12,2,17,-64,0,-1,-3,-4,9,-64,-64,,,,,,"
